gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list
0,,,,stopword,1.0,,,,,,,,,,,,
1st,,,,stopword,1.0,,,,,,,,,,,,
2nd,,,,stopword,1.0,,,,,,,,,,,,
4c energy,,,,b,2.0,,,,,,,,,,,,
abv,,,,stopword,1.0,,,,,,,,,,,,
acacia,,,,modifier,1.0,,,,,,,,,,,,
acai,,acai,,f,1.0,fruit,berry,,,,complete,,['fruit'],['berry'],,,
acai bowl,,acai bowl,,f,2.0,fruit,,,,,complete,3,['fruit'],,,,
acorn squash,,starchy vege,,f,2.0,vegetable,,,,,,,['vegetable'],,,,
actimel,actimel,probiotic yogurt drink,,b,1.0,dairy,yogurt,,fermented,,incomplete,4,['dairy'],['yogurt'],,['fermented'],
actimel danone,actimel danone,probiotic yogurt drink,,b,2.0,dairy,yogurt,,fermented,,incomplete,4,['dairy'],['yogurt'],,['fermented'],
activated,,,,modifier,1.0,,,,,,,,,,,,
active,,,,stopword,1.0,,,,,,,,,,,,
activia yogurt,,,,f,2.0,,,,,,,,,,,,
adam,,,,stopword,1.0,,,,,,,,,,,,
adaptogen,,,,modifier,1.0,,,,,,,,,,,,
adaptogenic,,,,modifier,1.0,,,,,,,,,,,,
add,,,,stopword,1.0,,,,,,,,,,,,
add in,,,,stopword,2.0,,,,,,,,,,,,
added,,,,modifier,1.0,,,,,,,,,,,,
addictive,,,,stopword,1.0,,,,,,,,,,,,
adobo,,"protein dish, can be chicken, beef, or pork",,f,1.0,protein,,,high sodium,,incomplete,3,['protein'],,,['high sodium'],
advantage,,,,stopword,1.0,,,,,,,,,,,,
advocare spark,advocare spark,supplement/electrolyte drink powder (15 calories),,b,2.0,sports drink,,,"electrolytes, supplements, vitatmins, artificial sweetener (15 calories)",,incomplete,4,['sports drink'],,,"['electrolytes', 'supplements', 'vitatmins', 'artificial sweetener (15 calories)']",
adzuki,,east asian beans,,f,1.0,protein,legume,bean,,,complete,1,['protein'],['legume'],['bean'],,
aeropress,aeropress,coffee maker brand,aeropress coffee,b,1.0,coffee,,,caffeine,,incomplete,v,['coffee'],,,['caffeine'],
african,,,,modifier,1.0,,,,,,,,,,,,
afternoon,,,,modifier,1.0,,,,,,,,,,,,
afternoon tea,,,,f,2.0,,,,,,,,,,,,
ag1,,,,f,1.0,,,,,,,,,,,,
agave,,,,f,1.0,,,,,,vague,,,,,,
aged,,,,modifier,1.0,,,,,,,,,,,,
agua,,water,water,w,1.0,,,,,,,,,,,,
aguacate,,"spanish for ""avocado""",,f,1.0,fruit,berry,,,,complete,1,['fruit'],['berry'],,,
ahi,,ahi tuna,,f,1.0,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
ahi poke,,ahi poke,,f,2.0,protein,seafood,fish,,,incomplete,3,['protein'],['seafood'],['fish'],,
ahi tuna,,ahi tuna,,f,2.0,protein,seafood,fish,,,complete,1,['protein'],['seafood'],['fish'],,
ahoy,,,,modifier,1.0,,,,,,,,,,,,
aid,,,,stopword,1.0,,,,,,,,,,,,
aioli,,,,f,1.0,,,,,,,,,,,,
air fryer,,,,stopword,2.0,,,,,,,,,,,,
air popped,,,,modifier,2.0,,,,,,,,,,,,
airborn,,,,stopword,1.0,,,,,,,,,,,,
airborne,,,,stopword,1.0,,,,,,,,,,,,
airplane,,,,stopword,1.0,,,,,,,,,,,,
ajvar,,"condiment made of red bell peppers, eggplant, and oil",,f,1.0,"vegetable, other",oil,,,condiment,complete,3,"['vegetable', 'other']",['oil'],,,['condiment']
al pastor,,al pastor,,f,2.0,protein,pork,,high sodium,,incomplete,3,['protein'],['pork'],,['high sodium'],
alaskan,,,,modifier,1.0,,,,,,,,,,,,
albacore,,albacore,,f,1.0,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
alcohol,,alcohol,,b,1.0,alcohol,,,,,complete,,['alcohol'],,,,
alcohol free beer,,,,b,3.0,other,non-alcoholic fermented grain,,,,,,['other'],['non-alcoholic fermented grain'],,,
alcoholic,,,,modifier,1.0,,,,,,,,,,,,
aldi,,,,modifier,1.0,,,,,,,,,,,,
ale,,beer,,b,1.0,sparkling water,beer,,fermented,,complete,,['sparkling water'],['beer'],,['fermented'],
alfajor,,cookies filled with dulce de leche,,f,1.0,dessert/sweet treat,baked good,,"added sugar, saturated fat",,complete,4,['dessert/sweet treat'],['baked good'],,"['added sugar', 'saturated fat']",
alfalfa,,,,f,1.0,,,,,,,,,,,,
alfalfa sprout,,,,f,2.0,vegetable,,,,,,,['vegetable'],,,,
alfredo,,cream based sauce,,f,1.0,dairy,,,,sauce,incomplete,,['dairy'],,,,['sauce']
algae oil,,,,f,2.0,,,,,,,,,,,,
algae omega,,,,modifier,2.0,,,,,,,,,,,,
align,,,,stopword,1.0,,,,,,,,,,,,
alkaline,,,,modifier,1.0,,,,,,,,,,,,
allergy,,,,modifier,1.0,,,,,,,,,,,,
allspice,,allspice,,f,1.0,other,spice,,,,complete,2,['other'],['spice'],,,
almond,,almond,,f,1.0,nut,,,unsaturated fat,,complete,,['nut'],,,['unsaturated fat'],
almond butter,,almond butter,,f,2.0,nut,almond,,unsaturated fat,,complete,4,['nut'],['almond'],,['unsaturated fat'],
almond creamer,,almond creamer,,b,2.0,dairy alternative,creamer,,"additive, added sugar",,complete,4,['dairy alternative'],['creamer'],,"['additive', 'added sugar']",
almond flour,,almond flour,almond flour,f,2.0,nut,almond,,,,incomplete,1,['nut'],['almond'],,,
almond latte,,,,b,2.0,"coffee, dairy alternative",almond,,caffeine,,,,"['coffee', 'dairy alternative']",['almond'],,['caffeine'],
almond milk,,almond milk,,b,2.0,dairy alternative,nut,,,,complete,4,['dairy alternative'],['nut'],,,
aloe,,aloe,aloe,f,1.0,vegetable,leafy,,,,incomplete,,['vegetable'],['leafy'],,,
aloe vera,,,,f,2.0,,,,,,,,,,,,
aloha bee,,,,stopword,2.0,,,,,,,,,,,,
aloo,,,,modifier,1.0,,,,,,,,,,,,
aloo paratha,,indian bread,,f,2.0,"grain, vegetable","wheat, root",,,,incomplete,3,"['grain', 'vegetable']","['wheat', 'root']",,,
alpen,alpen,muesli,,f,1.0,grain,oat,,,,incomplete,1,['grain'],['oat'],,,
alternative,,,,stopword,1.0,,,,,,,,,,,,
altoids,altoids,mints,,f,1.0,other,mint,,added sugar,,complete,4,['other'],['mint'],,['added sugar'],
amala,,yam and cassava flour,,f,1.0,vegetable,,,,,incomplete,1,['vegetable'],,,,
amaranth,,pseudo-cereal,,f,1.0,other,plant,,,,,,['other'],['plant'],,,
amaranto,,"spanish for ""amaranth""",amaranth,f,1.0,other,plant,,,,complete,1,['other'],['plant'],,,
amaretto,,sweet italian liquor,,b,1.0,alcohol,liquor,,fermented,,complete,4,['alcohol'],['liquor'],,['fermented'],
amazing,,,,stopword,1.0,,,,,,,,,,,,
amazing grass,,,,f,2.0,,,,,,,,,,,,
american,,,,modifier,1.0,,,,,,,,,,,,
americano,,americano,,b,1.0,coffee,,,caffeine,,complete,,['coffee'],,,['caffeine'],
amino energy,,,,b,2.0,,,,,,,,,,,,
amla,,indian gooseberry,,f,1.0,fruit,berry,,,,incomplete,1,['fruit'],['berry'],,,
amount,,,,stopword,1.0,,,,,,,,,,,,
amp,,,,stopword,1.0,,,,,,,,,,,,
ample k calorie,ample k,keto meal replacement shake,,b,3.0,other,meal replacement,,saturated fat,,incomplete,4,['other'],['meal replacement'],,['saturated fat'],
amstel,amstel,beer,,b,1.0,alcohol,beer,,fermented,,complete,3,['alcohol'],['beer'],,['fermented'],
anchovy,,fish,,f,1.0,protein,seafood,fish,,,,,['protein'],['seafood'],['fish'],,
ancient,,,,modifier,1.0,,,,,,,,,,,,
and,,,,stopword,1.0,,,,,,,,,,,,
andouille,,smoked pork sausage,,f,1.0,protein,pork,,"saturated fat, high sodium, highly processed",,complete,4,['protein'],['pork'],,"['saturated fat', 'high sodium', 'highly processed']",
angel,,,,stopword,1.0,,,,,,,,,,,,
angel hair,,angel hair pasta,,f,2.0,grain,wheat,,,,complete,1,['grain'],['wheat'],,,
angry orchard,angry orchard,hard (alcoholic) cider,,b,2.0,alcohol,cider,,,,complete,3,['alcohol'],['cider'],,,
angus,,,,modifier,1.0,,,,,,,,,,,,
animal cracker,,,,f,2.0,grain,wheat,,"added sugar, highly processed",,,,['grain'],['wheat'],,"['added sugar', 'highly processed']",
annies,,,,stopword,1.0,,,,,,,,,,,,
another,,,,stopword,1.0,,,,,,,,,,,,
antioxidant,,,,modifier,1.0,,,,,,,,,,,,
antipasti,,appetizer,,f,1.0,,,,,,vague,v,,,,,
antipasto,,first course of italian meal,,f,1.0,,,,,,vague,v,,,,,
anxiety,,,,stopword,1.0,,,,,,,,,,,,
anything,,,,stopword,1.0,,,,,,,,,,,,
anzac,,,,modifier,1.0,,,,,,,,,,,,
aperol,,,,b,1.0,,,,,,,,,,,,
aperol spritz,,wine based cocktail,,b,2.0,"alcohol, sparkling water","wine, liquor",mixed,fermented,,complete,3,"['alcohol', 'sparkling water']","['wine', 'liquor']",['mixed'],['fermented'],
appetizer,,,,f,1.0,,,,,,,,,,,,
apple,,fruit,,f,1.0,fruit,,,,,complete,,['fruit'],,,,
apple cider,,apple cider,,b,2.0,juice/smoothie,fruit,,,,incomplete,2,['juice/smoothie'],['fruit'],,,
apple cider vinegar,,apple cider vinegar,,b,3.0,other,,,,,complete,2,['other'],,,,
apple crisp,,,,f,2.0,"grain, fruit, nut","oat, baked good",added sugar,,,,,"['grain', 'fruit', 'nut']","['oat', 'baked good']",['added sugar'],,
apple fritter,,,,f,2.0,"dessert/sweet treat, fruit, grain, protein","wheat, egg, baked good",,"added sugar, fried, saturated fat",,,,"['dessert/sweet treat', 'fruit', 'grain', 'protein']","['wheat', 'egg', 'baked good']",,"['added sugar', 'fried', 'saturated fat']",
apple grapefruit vitamin c water,vitamin water,flavored/sweetened water with vitamins,,b,5.0,sports drink,,,"electrolytes, supplements, vitatmins, artificial sweetener (15 calories)",,incomplete,4,['sports drink'],,,"['electrolytes', 'supplements', 'vitatmins', 'artificial sweetener (15 calories)']",
apple juice,,apple juice,,b,2.0,juice/smoothie,fruit,,added sugar,,complete,1,['juice/smoothie'],['fruit'],,['added sugar'],
apple pie,,apple pie,,f,2.0,"dessert/sweet treat, fruit",baked good,,"added sugar, saturated fat",,incomplete,4,"['dessert/sweet treat', 'fruit']",['baked good'],,"['added sugar', 'saturated fat']",
apple strudel,,"sweet, fruit",,f,2.0,"dessert/sweet treat, fruit, dairy","wheat, butter, baked good",,"added sugar, saturated fat",,,,"['dessert/sweet treat', 'fruit', 'dairy']","['wheat', 'butter', 'baked good']",,"['added sugar', 'saturated fat']",
apple turnover,,,,f,2.0,,,,,,,,,,,,
applegate,applegate,natural meats,,modifier,1.0,,,,,,,,,,,,
applesauce,,apple sauce,,f,1.0,fruit,,,added sugar,,complete,3,['fruit'],,,['added sugar'],
approx,,,,modifier,1.0,,,,,,,,,,,,
apricot,,apricot,,f,1.0,fruit,stone fruit,,,,incomplete,,['fruit'],['stone fruit'],,,
aquafina,aquafina,water,,w,1.0,,,,,,,,,,,,
arby 's,arby's,,,modifier,2.0,,,,,,,,,,,,
arepa,,cornmeal,,f,1.0,grain,corn,,,,,,['grain'],['corn'],,,
argan,,,,modifier,1.0,,,,,,,,,,,,
arizona,arizona,,,modifier,1.0,,,,,,,,,,,,
arnold palmer,,mixed drink,,b,2.0,"tea, juice/smoothie",fruit,,"added sugar, caffeine",,,,"['tea', 'juice/smoothie']",['fruit'],,"['added sugar', 'caffeine']",
aronia,,aronia berries,,f,1.0,fruit,berry,,,,complete,1,['fruit'],['berry'],,,
arrabiata,,italian spicy pasta sauce,,f,1.0,"fruit, vegetable",tomato,,,sauce,incomplete,3,"['fruit', 'vegetable']",['tomato'],,,['sauce']
arrowroot,,arrowroot,,f,1.0,other,plant,,,,complete,1,['other'],['plant'],,,
arroz,,"spanish for ""rice""",,f,1.0,grain,wheat,,,,incomplete,1,['grain'],['wheat'],,,
artichoke,,artichoke,,f,1.0,vegetable,,,,,complete,,['vegetable'],,,,
artichoke heart,,vege,,f,2.0,vegetable,leafy,,,,,,['vegetable'],['leafy'],,,
artificial,,,,modifier,1.0,,,,,,,,,,,,
artisan,,,,modifier,1.0,,,,,,,,,,,,
arugula,,arugula,,f,1.0,vegetable,leafy,,,,complete,,['vegetable'],['leafy'],,,
arugula salad,,arugula salad,,f,2.0,vegetable,leafy,,,,incomplete,3,['vegetable'],['leafy'],,,
asada taco,,carne asada taco,carne asada taco,f,2.0,"grain, protein","corn, red meat",beef,"saturated fat, high sodium",,complete,3,"['grain', 'protein']","['corn', 'red meat']",['beef'],"['saturated fat', 'high sodium']",
asahi,,,,b,1.0,,,,,,,,,,,,
asahi vegan beer,,,,b,3.0,,,,,,,,,,,,
asian,,,,modifier,1.0,,,,,,,,,,,,
asian salad,,asian salad,,f,2.0,vegetable,leafy,,,,vague,3,['vegetable'],['leafy'],,,
asparagus,,vegetable,,f,1.0,vegetable,other vegetable,,,,complete,,['vegetable'],['other vegetable'],,,
assam,,assam tea,,b,1.0,tea,black,,caffeine,,incomplete,1,['tea'],['black'],,['caffeine'],
assorted,,,,modifier,1.0,,,,,,,,,,,,
ate,,,,stopword,1.0,,,,,,,,,,,,
atheltic green,,,,modifier,2.0,,,,,,,,,,,,
athletic,,,,modifier,1.0,,,,,,,,,,,,
athletic green,,,,b,2.0,juice/smoothie,vegetable,,,,,,['juice/smoothie'],['vegetable'],,,
atkins,,,,modifier,1.0,,,,,,,,,,,,
atkins bar,,,,f,2.0,"protein, dairy",bar,,,bars,,,"['protein', 'dairy']",['bar'],,,['bars']
atkins shake,,,,b,2.0,,,,,,,,,,,,
atun,,"spanish for ""tuna""",,f,1.0,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
au gratin,,dish baked with topping of seasoned breadcrumbs and cheese,,f,2.0,"grain, dairy","wheat, cheese",,baked,,incomplete,3,"['grain', 'dairy']","['wheat', 'cheese']",,['baked'],
au jus,,beef broth sauce,,f,2.0,other,broth,,high sodium,,complete,3,['other'],['broth'],,['high sodium'],
