ID,food_type,desc_text,cleaned
7572733,w,Water,['water']
411111,b,Coffee White,"['coffee', 'white']"
8409118,f,Salad,['salad']
9615131,b,Tea Black,['tea black']
8100781,f,Soup Vegetable,"['soup', 'vegetable']"
7338413,f,Macadamia Nuts,['macadamia nut']
7316136,b,Coffee Black,['coffee black']
4533615,b,Coffee Black,['coffee black']
427478,f,"Lettuce, Sweet Potato, Black Bean Chilli","['lettuce', 'sweet potato', 'black bean', 'chilli']"
2786442,f,Protein Unflavoured Whey,"['protein', 'whey']"
4068820,f,Mueslie Plain Yogurt Soy Milk,"['plain yogurt', 'soy milk']"
4396016,b,Tea White,"['tea', 'white']"
3485992,b,Coffee White,"['coffee', 'white']"
9795917,f,"Soup Vegetable, Yogurt Plain","['soup', 'vegetable', 'yogurt', 'plain']"
6523587,b,Coffee White,"['coffee', 'white']"
962929,f,"Cheese, Bread Wholemeal","['cheese', 'bread', 'wholemeal']"
697502,f,Cashews,['cashew']
727702,f,"Broccoli, Bolognese Pasta","['broccoli', 'bolognese', 'pasta']"
5781877,b,Coffee Black,['coffee black']
9199441,f,"Tahini, Bread Rye","['tahini', 'bread', 'rye']"
8202895,f,Protein Unflavoured Whey,"['protein', 'whey']"
9569489,f,"Soup Vegetable, Yogurt Plain","['soup', 'vegetable', 'yogurt', 'plain']"
2540158,b,Coffee White,"['coffee', 'white']"
6815069,b,Choc Powder With Water,"['powder', 'water']"
7388159,f,Tofu Penang Curry,"['tofu', 'curry']"
8727138,f,Cookie Small,"['cookie', 'small']"
6788550,b,Coffee Black,['coffee black']
2432430,f,Protein Unflavoured Whey,"['protein', 'whey']"
7531020,f,"Peanut Butter, Bread Wholemeal","['peanut butter', 'bread', 'wholemeal']"
2748374,f,Banana,['banana']
6594682,f,Indian Ratatouille,['indian']
3574205,b,Cocoa,['cocoa']
9875650,f,Soup Vegetable,"['soup', 'vegetable']"
5993494,f,"Cheese, Crackers","['cheese', 'cracker']"
5099527,f,Risotto Vegetables,"['risotto', 'vegetable']"
8114991,b,Wine White,"['wine', 'white']"
3336776,f,Muesli Bar,"['muesli', 'bar']"
4298947,f,Chocolate,['chocolate']
2326790,f,Chocolate,['chocolate']
9727325,b,Coffee White,"['coffee', 'white']"
3611137,f,Nori Roll,['roll']
8406602,f,Salad,['salad']
2017336,f,Tuna,['tuna']
2547215,b,Wine Red,"['wine', 'red']"
3243149,f,"Soup Vegetable, Yogurt Plain","['soup', 'vegetable', 'yogurt', 'plain']"
3100338,b,Coffee White,"['coffee', 'white']"
4419613,f,Pasta Tuna,"['pasta', 'tuna']"
9153304,f,Panforte,[]
8691125,b,Wine Red,"['wine', 'red']"
6559601,f,Slice,['slice']
6138910,f,Sports Gel,"['sport', 'gel']"
1422867,b,Coffee White,"['coffee', 'white']"
1954486,f,Beef Burger,['beef burger']
3764743,b,Ice Coffee,['ice coffee']
7866155,f,Sports Bar,"['sport', 'bar']"
8586249,b,Beer,['beer']
8237706,f,Vege Burger,['burger']
7082495,f,Icecream,['icecream']
566324,f,Sports Bar,"['sport', 'bar']"
8194807,b,Cocoa,['cocoa']
5015076,f,Cookie Small,"['cookie', 'small']"
8900985,b,Cocoa,['cocoa']
1464726,f,Laksa,['laksa']
8858667,f,Orange,['orange']
8374822,b,Tea Korean Rice,"['tea', 'korean', 'rice']"
3229966,f,Salad Vietnamese Tofu,"['salad', 'vietnamese', 'tofu']"
2490113,f,Cashew Nuts,['cashew nut']
5768272,f,"Peanut Butter, Bread Wholemeal","['peanut butter', 'bread', 'wholemeal']"
2541191,b,Coffee Black,['coffee black']
2224076,f,Peach,['peach']
3806061,f,Vegetarian Chili,"['vegetarian', 'chili']"
8677718,f,Icecream,['icecream']
2361039,b,Wine White,"['wine', 'white']"
7124815,f,Croissant,['croissant']
9651830,f,Muffin,['muffin']
6802944,f,Banana,['banana']
9288672,b,Coffee White,"['coffee', 'white']"
121092,f,Yogurt Plain,"['yogurt', 'plain']"
5089673,f,Cashew Nuts,['cashew nut']
1216014,f,Blueberries,['blueberry']
6921245,f,"Cassoulet, Spinach, Sweet Potato","['spinach', 'sweet potato']"
4236488,f,Peach,['peach']
216856,f,Cheese Goat Cheddar,"['cheese', 'goat', 'cheddar']"
3700037,f,Icecream,['icecream']
4470869,b,Coffee White,"['coffee', 'white']"
2736637,f,Protein Unflavoured Whey,"['protein', 'whey']"
