,ID,food_type,desc_text,cleaned
0,7572733,w,Water,['water']
1,411111,b,Coffee White,"['coffee', 'white']"
2,8409118,f,Salad,['salad']
3,9615131,b,Tea Black,['tea black']
4,8100781,f,Soup Vegetable,"['soup', 'vegetable']"
5,7338413,f,Macadamia Nuts,['macadamia nut']
6,7316136,b,Coffee Black,['coffee black']
7,4533615,b,Coffee Black,['coffee black']
8,427478,f,"Lettuce, Sweet Potato, Black Bean Chilli","['lettuce', 'sweet potato', 'black bean', 'chilli']"
9,2786442,f,Protein Unflavoured Whey,"['protein', 'whey']"
10,4068820,f,Mueslie Plain Yogurt Soy Milk,"['plain yogurt', 'soy milk']"
11,4396016,b,Tea White,"['tea', 'white']"
12,3485992,b,Coffee White,"['coffee', 'white']"
13,9795917,f,"Soup Vegetable, Yogurt Plain","['soup', 'vegetable', 'yogurt', 'plain']"
14,6523587,b,Coffee White,"['coffee', 'white']"
15,962929,f,"Cheese, Bread Wholemeal","['cheese', 'bread', 'wholemeal']"
16,697502,f,Cashews,['cashew']
17,727702,f,"Broccoli, Bolognese Pasta","['broccoli', 'bolognese', 'pasta']"
18,5781877,b,Coffee Black,['coffee black']
19,9199441,f,"Tahini, Bread Rye","['tahini', 'bread', 'rye']"
20,8202895,f,Protein Unflavoured Whey,"['protein', 'whey']"
21,9569489,f,"Soup Vegetable, Yogurt Plain","['soup', 'vegetable', 'yogurt', 'plain']"
22,2540158,b,Coffee White,"['coffee', 'white']"
23,6815069,b,Choc Powder With Water,"['powder', 'water']"
24,7388159,f,Tofu Penang Curry,"['tofu', 'curry']"
25,8727138,f,Cookie Small,"['cookie', 'small']"
26,6788550,b,Coffee Black,['coffee black']
27,2432430,f,Protein Unflavoured Whey,"['protein', 'whey']"
28,7531020,f,"Peanut Butter, Bread Wholemeal","['peanut butter', 'bread', 'wholemeal']"
29,2748374,f,Banana,['banana']
30,6594682,f,Indian Ratatouille,['indian']
31,3574205,b,Cocoa,['cocoa']
32,9875650,f,Soup Vegetable,"['soup', 'vegetable']"
33,5993494,f,"Cheese, Crackers","['cheese', 'cracker']"
34,5099527,f,Risotto Vegetables,"['risotto', 'vegetable']"
35,8114991,b,Wine White,"['wine', 'white']"
36,3336776,f,Muesli Bar,"['muesli', 'bar']"
37,4298947,f,Chocolate,['chocolate']
38,2326790,f,Chocolate,['chocolate']
39,9727325,b,Coffee White,"['coffee', 'white']"
40,3611137,f,Nori Roll,['roll']
41,8406602,f,Salad,['salad']
42,2017336,f,Tuna,['tuna']
43,2547215,b,Wine Red,"['wine', 'red']"
44,3243149,f,"Soup Vegetable, Yogurt Plain","['soup', 'vegetable', 'yogurt', 'plain']"
45,3100338,b,Coffee White,"['coffee', 'white']"
46,4419613,f,Pasta Tuna,"['pasta', 'tuna']"
47,9153304,f,Panforte,[]
48,8691125,b,Wine Red,"['wine', 'red']"
49,6559601,f,Slice,['slice']
50,6138910,f,Sports Gel,"['sport', 'gel']"
51,1422867,b,Coffee White,"['coffee', 'white']"
52,1954486,f,Beef Burger,['beef burger']
53,3764743,b,Ice Coffee,['ice coffee']
54,7866155,f,Sports Bar,"['sport', 'bar']"
55,8586249,b,Beer,['beer']
56,8237706,f,Vege Burger,['burger']
57,7082495,f,Icecream,['icecream']
58,566324,f,Sports Bar,"['sport', 'bar']"
59,8194807,b,Cocoa,['cocoa']
60,5015076,f,Cookie Small,"['cookie', 'small']"
61,8900985,b,Cocoa,['cocoa']
62,1464726,f,Laksa,['laksa']
63,8858667,f,Orange,['orange']
64,8374822,b,Tea Korean Rice,"['tea', 'korean', 'rice']"
65,3229966,f,Salad Vietnamese Tofu,"['salad', 'vietnamese', 'tofu']"
66,2490113,f,Cashew Nuts,['cashew nut']
67,5768272,f,"Peanut Butter, Bread Wholemeal","['peanut butter', 'bread', 'wholemeal']"
68,2541191,b,Coffee Black,['coffee black']
69,2224076,f,Peach,['peach']
70,3806061,f,Vegetarian Chili,"['vegetarian', 'chili']"
71,8677718,f,Icecream,['icecream']
72,2361039,b,Wine White,"['wine', 'white']"
73,7124815,f,Croissant,['croissant']
74,9651830,f,Muffin,['muffin']
75,6802944,f,Banana,['banana']
76,9288672,b,Coffee White,"['coffee', 'white']"
77,121092,f,Yogurt Plain,"['yogurt', 'plain']"
78,5089673,f,Cashew Nuts,['cashew nut']
79,1216014,f,Blueberries,['blueberry']
80,6921245,f,"Cassoulet, Spinach, Sweet Potato","['spinach', 'sweet potato']"
81,4236488,f,Peach,['peach']
82,216856,f,Cheese Goat Cheddar,"['cheese', 'goat', 'cheddar']"
83,3700037,f,Icecream,['icecream']
84,4470869,b,Coffee White,"['coffee', 'white']"
85,2736637,f,Protein Unflavoured Whey,"['protein', 'whey']"
86,7883671,f,"Soup Vegetable, Bread Rye","['soup', 'vegetable', 'bread', 'rye']"
87,3870803,b,Coffee White,"['coffee', 'white']"
88,6406709,f,Apple,['apple']
89,9076156,b,Tea Green,"['tea', 'green']"
90,2748765,f,"Beans, Lasagne","['bean', 'lasagne']"
91,1200655,b,Wine Red,"['wine', 'red']"
92,2951885,f,Banana,['banana']
93,4701876,b,Coffee White,"['coffee', 'white']"
94,9141609,f,Mueslie Plain Yogurt Soy Milk,"['plain yogurt', 'soy milk']"
95,1319055,f,Soup Vegetable,"['soup', 'vegetable']"
96,9892596,b,Chai Turmeric Soy,"['chai', 'turmeric', 'soy']"
97,3855682,f,Tart Kale,"['tart', 'kale']"
98,7112394,f,Almond Nuts,"['almond', 'nut']"
99,8538016,f,Peach,['peach']
100,7850014,f,"Cheese, Yogurt Plain","['cheese', 'yogurt', 'plain']"
101,7452390,b,Tea White,"['tea', 'white']"
102,2340146,b,Coffee Black,['coffee black']
103,317353,f,Smoothie Micronutrient,"['smoothie', 'micronutrient']"
104,5254658,f,Almond Nuts,"['almond', 'nut']"
105,7073062,f,Coffee Decaf White,"['coffee decaf', 'white']"
106,4579265,f,Cheese,['cheese']
107,29444,f,"Carrot, Peanut Butter, Bread Wholemeal","['carrot', 'peanut butter', 'bread', 'wholemeal']"
108,9687212,f,"Tempeh, Vegetables, Rice Brown","['tempeh', 'vegetable', 'rice', 'brown']"
109,1391730,f,"Yoghurt Coconut, Raspberries","['yoghurt', 'coconut', 'raspberry']"
110,1768160,f,Pancake,['pancake']
111,4259917,b,Coffee White,"['coffee', 'white']"
112,3190712,f,Banana,['banana']
113,2000049,f,Apple Cake,"['apple', 'cake']"
114,9356843,f,Pizza Homemade,"['pizza', 'homemade']"
115,1802835,b,Gin And Tonic,['gin tonic']
116,5016788,b,Beer,['beer']
117,4413057,f,Nut Bar,['nut bar']
118,5764850,f,Banana,['banana']
