gram_key,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list,tag6,tag7
4c energy,b,2,,,,,,,,,,,,
actimel,b,1,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
actimel danone,b,2,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
aeropress,b,1,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
alcohol,b,1,alcohol,,,,,['alcohol'],,,,,,
alcohol free beer,b,3,other,non-alcoholic fermented grain,,,,['other'],['non-alcoholic fermented grain'],,,,,
ale,b,1,sparkling water,beer,,fermented,,['sparkling water'],['beer'],,['fermented'],,,
almond creamer,b,2,dairy alternative,creamer,,"additive, added sugar",,['dairy alternative'],['creamer'],,"['additive', 'added sugar']",,,
almond latte,b,2,"coffee, dairy alternative",almond,,caffeine,,"['coffee', 'dairy alternative']",['almond'],,['caffeine'],,,
almond milk,b,2,dairy alternative,nut,,,,['dairy alternative'],['nut'],,,,,
amaretto,b,1,alcohol,liquor,,fermented,,['alcohol'],['liquor'],,['fermented'],,,
americano,b,1,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
amino energy,b,2,,,,,,,,,,,,
ample k,b,2,other,meal replacement,,saturated fat,,['other'],['meal replacement'],,['saturated fat'],,,
amstel,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
angry orchard,b,2,alcohol,cider,,,,['alcohol'],['cider'],,,,,
aperol,b,1,,,,,,,,,,,,
aperol spritz,b,2,"alcohol, sparkling water","wine, liquor",mixed,fermented,,"['alcohol', 'sparkling water']","['wine', 'liquor']",['mixed'],['fermented'],,,
apple cider,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
apple cider vinegar,b,3,other,,,,,['other'],,,,,,
apple grapefruit vitamin c water,b,5,sports drink,,,"electrolytes, supplements, vitatmins, artificial sweetener (15 calories)",,['sports drink'],,,"['electrolytes', 'supplements', 'vitatmins', 'artificial sweetener (15 calories)']",,,
apple juice,b,2,juice/smoothie,fruit,,added sugar,,['juice/smoothie'],['fruit'],,['added sugar'],,,
arnold palmer,b,2,"tea, juice/smoothie",fruit,,"added sugar, caffeine",,"['tea', 'juice/smoothie']",['fruit'],,"['added sugar', 'caffeine']",,,
asahi,b,1,,,,,,,,,,,,
asahi vegan beer,b,3,,,,,,,,,,,,
assam,b,1,tea,black,,caffeine,,['tea'],['black'],,['caffeine'],,,
assam tea,b,2,,,,,,,,,,,,
athletic green,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
atkins shake,b,2,,,,,,,,,,,,
au lait,b,2,"coffee, dairy",milk,,"caffeine, saturated fat",,"['coffee', 'dairy']",['milk'],,"['caffeine', 'saturated fat']",,,
ayran,b,1,dairy,yogurt,,,,['dairy'],['yogurt'],,,,,
bailey,b,1,"alcohol, dairy alternative, juice/smoothie","liquor, cream",,saturated fat,,"['alcohol', 'dairy alternative', 'juice/smoothie']","['liquor', 'cream']",,['saturated fat'],,,
bailey irish,b,2,"alcohol, dairy",liquor,straight,"added sugar, saturated fat",,"['alcohol', 'dairy']",['liquor'],['straight'],"['added sugar', 'saturated fat']",,,
banana smoothie,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
bang,b,1,energy drink,,,"caffeine, added sugar",,['energy drink'],,,"['caffeine', 'added sugar']",,,
bang energy,b,2,energy drink,,,"caffeine, artifical sweetener",,['energy drink'],,,"['caffeine', 'artifical sweetener']",,,
bang energy drink,b,3,energy drink,,,"caffeine, artifical sweetener",,['energy drink'],,,"['caffeine', 'artifical sweetener']",,,
beer,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
beer ipa,b,2,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
beet juice,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
bergamot,b,1,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
berry forager yogurt,b,3,dairy alternative,cashew,,,,['dairy alternative'],['cashew'],,,,,
berry smoothie,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
beverage,b,1,,,,,,,,,,,,
bipro,b,1,protein,protein powder,,amino acids,supplement,['protein'],['protein powder'],,['amino acids'],['supplement'],,
bitters,b,1,,,,,,,,,,,,
black coffee,b,2,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
black decaffeinated coffee,b,3,coffee,,,decaffeinated,,['coffee'],,,['decaffeinated'],,,
black tea,b,2,tea,black tea,,caffeine,,['tea'],['black tea'],,['caffeine'],,,
bloody mary,b,2,"alcohol, juice/smoothie","liquor, vegetable",mixed,,,"['alcohol', 'juice/smoothie']","['liquor', 'vegetable']",['mixed'],,,,
blueberry yogurt,b,2,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
boba,b,1,"tea, other",,,"caffeine, added sugar",dessert,"['tea', 'other']",,,"['caffeine', 'added sugar']",['dessert'],,
bodykey,b,1,other,meal replacement,,,,['other'],['meal replacement'],,,,,
bouillon,b,1,other,broth,,high sodium,,['other'],['broth'],,['high sodium'],,,
bourbon,b,1,alcohol,liquor,straight,fermented,,['alcohol'],['liquor'],['straight'],['fermented'],,,
