gram_key,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list,tag6,tag7
5htp,m,1,supplement,"depression, anxiety, insomnia",serotonin production,,,['supplement'],"['depression', 'anxiety', 'insomnia']",['serotonin production'],,,,
abilify,m,1,prescription,"depression, bipolar disorder, schizophrenia, tourettes",,aripiprazole,,['prescription'],"['depression', 'bipolar disorder', 'schizophrenia', 'tourettes']",,['aripiprazole'],,,
acetaminophen,m,1,"prescription, otc","pain relief, fever","headache, muscle ache, cold, fever, sore throat, backache",tylenol,,"['prescription', 'otc']","['pain relief', 'fever']","['headache', 'muscle ache', 'cold', 'fever', 'sore throat', 'backache']",['tylenol'],,,
acetazolamide,m,1,prescription,"glaucoma, hypertension, congestive heart failure, altitude sickness, epilepsy, periodic paralysis",,,,['prescription'],"['glaucoma', 'hypertension', 'congestive heart failure', 'altitude sickness', 'epilepsy', 'periodic paralysis']",,,,,
acetyl glutathione xymogen,m,3,supplement,antioxidant,,glutathione,,['supplement'],['antioxidant'],,['glutathione'],,,
achillea,m,1,supplement,"eczema, irritable bowel syndrome",,,,['supplement'],"['eczema', 'irritable bowel syndrome']",,,,,
acid reflux,m,2,condition,general health,,,,['condition'],['general health'],,,,,
acidophilus,m,1,supplement,"diarrhea, vaginal inflammation, yeast infection",probiotic,,,['supplement'],"['diarrhea', 'vaginal inflammation', 'yeast infection']",['probiotic'],,,,
activated charcoal,m,2,supplement,poisoning,,,,['supplement'],['poisoning'],,,,,
actos,m,1,prescription,diabetes,control blood sugar,,,['prescription'],['diabetes'],['control blood sugar'],,,,
acupan,m,1,prescription,pain relief,,,,['prescription'],['pain relief'],,,,,
acyclovir,m,1,prescription,"cold sore, herpes, shingles, chickenpox",,,,['prescription'],"['cold sore', 'herpes', 'shingles', 'chickenpox']",,,,,
adaptogens,m,1,"supplement, category","general health, stress",,,,"['supplement', 'category']","['general health', 'stress']",,,,,
adcal,m,1,brand,bone health,,,,['brand'],['bone health'],,,,,
adderall,m,1,prescription,"adhd, narcolepsy",amphetamine,,,['prescription'],"['adhd', 'narcolepsy']",['amphetamine'],,,,
adderall xr,m,2,prescription,"adhd, narcolepsy",amphetamine,,,['prescription'],"['adhd', 'narcolepsy']",['amphetamine'],,,,
adrenal,m,1,body part,general health,,,,['body part'],['general health'],,,,,
adrenal cortisol support,m,3,supplement,stress,adrenal gland function,,,['supplement'],['stress'],['adrenal gland function'],,,,
advair,m,1,prescription,asthma,,"advair diskus, advair hfa",,['prescription'],['asthma'],,"['advair diskus', 'advair hfa']",,,
advil,m,1,otc,"pain relief, fever",,"motrin, ibuprofen",,['otc'],"['pain relief', 'fever']",,"['motrin', 'ibuprofen']",,,
advocare spark,m,2,supplement,energy,contains caffeine,"advocare, spark",,['supplement'],['energy'],['contains caffeine'],"['advocare', 'spark']",,,
agnus castus,m,2,supplement,"breast pain, premenstrual syndrome",,,,['supplement'],"['breast pain', 'premenstrual syndrome']",,,,,
aleve,m,1,otc,"pain relief, fever",,naproxen,,['otc'],"['pain relief', 'fever']",,['naproxen'],,,
alfadil,m,1,prescription,"hypertension, benign prostatic hyperplasia",,,,['prescription'],"['hypertension', 'benign prostatic hyperplasia']",,,,,
alfuzosin,m,1,prescription,benign prostatic hyperplasia,,,,['prescription'],['benign prostatic hyperplasia'],,,,,
algae oil,m,2,supplement,preterm birth,,algal oil,,['supplement'],['preterm birth'],,['algal oil'],,,
allegra,m,1,otc,allergy,antihistamine,,,['otc'],['allergy'],['antihistamine'],,,,
allegrad,m,1,otc,allergy,antihistamine,,,['otc'],['allergy'],['antihistamine'],,,,
aller c,m,2,supplement,"congestion, allergy",,,,['supplement'],"['congestion', 'allergy']",,,,,
aller ease,m,2,otc,allergy,antihistamine,,,['otc'],['allergy'],['antihistamine'],,,,
aller fex,m,2,otc,allergy,antihistamine,,,['otc'],['allergy'],['antihistamine'],,,,
allertec,m,1,otc,allergy,antihistamine,,,['otc'],['allergy'],['antihistamine'],,,,
alli,m,1,"prescription, otc",weight loss,,,,"['prescription', 'otc']",['weight loss'],,,,,
allopurinol,m,1,prescription,"gout, kidney stone",,,,['prescription'],"['gout', 'kidney stone']",,,,,
alpha brain,m,2,supplement,cognitive function,,,,['supplement'],['cognitive function'],,,,,
alpha gpc,m,2,supplement,congitive function,,,,['supplement'],['congitive function'],,,,,
alpha lipoic acid,m,3,supplement,antioxidant,,,,['supplement'],['antioxidant'],,,,,
alprazolam,m,1,prescription,"anxiety, panic disorder",,xanax,,['prescription'],"['anxiety', 'panic disorder']",,['xanax'],,,
altace,m,1,prescription,"hypertension, heart failure, kidney disease",,ramipril,ACE-inhibitor,['prescription'],"['hypertension', 'heart failure', 'kidney disease']",,['ramipril'],['ACE-inhibitor'],,
amalaki churna,m,2,supplement,"anemia, diarrhea, inflammation, jaundice, diabetes",,,,['supplement'],"['anemia', 'diarrhea', 'inflammation', 'jaundice', 'diabetes']",,,,,
amantadine,m,1,prescription,"parkinsons disease, flu",,"gocovri, symmetrel, osmolex er",,['prescription'],"['parkinsons disease', 'flu']",,"['gocovri', 'symmetrel', 'osmolex er']",,,
amberen,m,1,otc,menopause,,,,['otc'],['menopause'],,,,,
ambien,m,1,prescription,insomnia,,zolpidem,,['prescription'],['insomnia'],,['zolpidem'],,,
amino,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
amino acid,m,2,supplement,general health,,,,['supplement'],['general health'],,,,,
amitriptyline,m,1,prescription,depression,antidepressant,,,['prescription'],['depression'],['antidepressant'],,,,
amlodipine,m,1,prescription,"hypertension, angina","calcium channel blocker, antihypertensive","amlodipine teva, teva amlodipine",calcium channel blocker,['prescription'],"['hypertension', 'angina']","['calcium channel blocker', 'antihypertensive']","['amlodipine teva', 'teva amlodipine']",['calcium channel blocker'],,
amlodipine teva,m,2,prescription,"hypertension, angina","calcium channel blocker, antihypertensive","teva amlodipine, amlodipine",,['prescription'],"['hypertension', 'angina']","['calcium channel blocker', 'antihypertensive']","['teva amlodipine', 'amlodipine']",,,
amoxicillin,m,1,prescription,"pneumonia, bronchitis, bacterial infection",,,,['prescription'],"['pneumonia', 'bronchitis', 'bacterial infection']",,,,,
anastrozole,m,1,prescription,breast cancer,,,,['prescription'],['breast cancer'],,,,,
androgel,m,1,prescription,"low testosterone, hypogonadism",,,,['prescription'],"['low testosterone', 'hypogonadism']",,,,,
anopyrin,m,1,prescription,"pain relief, fever",,,,['prescription'],"['pain relief', 'fever']",,,,,
antacid,m,1,"category, prescription","indigestion, heartburn, gerd",,,antacid,"['category', 'prescription']","['indigestion', 'heartburn', 'gerd']",,,['antacid'],,
antibiotic,m,1,category,infection,,,,['category'],['infection'],,,,,
antidepressant,m,1,category,depression,,,,['category'],['depression'],,,,,
antihistamine,m,1,category,"itching, allergy",,,,['category'],"['itching', 'allergy']",,,,,
antiviral,m,1,category,general health,,,,['category'],['general health'],,,,,
anxiolytic,m,1,category,anxiety,,,,['category'],['anxiety'],,,,,
apixaban,m,1,prescription,"stroke, blood clot",,,,['prescription'],"['stroke', 'blood clot']",,,,,
aprovel,m,1,prescription,"hypertension, diabetic nephropathy",antihypertensive,,ARB,['prescription'],"['hypertension', 'diabetic nephropathy']",['antihypertensive'],,['ARB'],,
