key,food_type,value,relevant,measurement,note
peanut butter,f,2217,Y,,
chicken salad,f,1838,Y,,
black coffee,b,1509,Y,,
ice cream,f,1070,Y,,
turkey sandwich,f,952,Y,,
breakfast burrito,f,916,Y,,
almond milk,b,872,Y,,
protein shake,f,838,Y,,
red wine,b,779,Y,,
taco salad,f,748,Y,,
half half,b,653,Y,,
greek yogurt,f,642,y,,
dr pepper,b,616,Y,,
oatmeal peanut,f,615,N,,
cold brew,b,609,Y,,
coffee half,b,591,N,,
protein bar,f,576,Y,,
protein shake,b,553,Y,,
sweet potato,f,545,Y,,
tuna salad,f,542,Y,,
salad chicken,f,510,N,,
almond milk,f,501,Y,,
coffee black,b,500,Y,,
eggs bacon,f,497,N,,
tri tip,f,496,Y,,
bell pepper,f,483,Y,,
chicken rice,f,480,N,,
brown rice,f,467,Y,,
coffee almond,b,459,N,,
hard boiled,f,447,N,,
rice beans,f,440,N,,
scrambled eggs,f,440,Y,,
eggs toast,f,427,N,,
sandwich chips,f,426,N,,
chicken sandwich,f,419,Y,,
carne asada,f,414,Y,,
grilled chicken,f,412,Y,,
chicken veggies,f,389,N,,
yogurt granola,f,389,Y,,
chips salsa,f,387,Y,,
iced coffee,b,383,Y,,
brussel sprouts,f,380,Y,,
mixed nuts,f,373,Y,,
brew coffee,b,369,Y,,
kind bar,f,367,Y,,
tortilla chips,f,367,Y,,
sweet potatoes,f,358,Y,,
egg scramble,f,352,Y,,
ground turkey,f,348,Y,,
almond butter,f,344,Y,,
trail mix,f,334,Y,,
fish tacos,f,330,Y,,
acai bowl,f,330,Y,,
coffee milk,b,327,Y,,
fruit salad,f,327,Y,,
black beans,f,326,Y,,
avocado toast,f,321,Y,,
fruit smoothie,f,314,Y,,
mixed greens,f,311,Y,,
green beans,f,307,Y,,
chocolate chip,f,305,Y,,
tuna sandwich,f,299,Y,,
chicken breast,f,296,Y,,
olive oil,f,295,Y,,
pulled pork,f,289,Y,,
butter jelly,f,288,N,,
roast beef,f,288,Y,,
poke bowl,f,279,Y,,
clif bar,f,278,Y,,
chicken sausage,f,272,Y,,
boiled eggs,f,269,Y,,
veggie breakfast,f,267,N,,
potato chips,f,264,Y,,
coffee cream,b,263,Y,,
tater tots,f,263,Y,,
french fries,f,262,Y,,
kale salad,f,260,Y,,
cream cheese,f,254,Y,,
eggs avocado,f,253,N,,
rice veggies,f,251,N,,
coffee creamer,b,246,Y,,
granola bar,f,244,Y,,
cobb salad,f,242,Y,,
coffee honey,b,240,N,,
bell peppers,f,237,Y,,
maple syrup,b,236,Y,,
white rice,f,236,Y,,
caesar salad,f,235,Y,,
eggs sausage,f,233,N,,
bitchin sauce,f,231,Y,,
stir fry,f,229,Y,,
