key,food_type,value,relevant,measurement
cold brew coffee almond,b,344,N,
brew coffee almond milk,b,344,N,
thorne protein powder scoop,b,143,Y,
coconut milk mocha coffee,b,127,Y,
organic coffee honey almond,b,119,N,
iced coffee superfood creamer,b,113,Y,
coffee superfood creamer tbs,b,108,N,
superfood creamer tbs maple,b,108,N,
creamer tbs maple syrup,b,108,N,
small almond milk cappuccino,b,87,y,
iced coffee cream maple,b,82,N,
coffee cream maple syrup,b,82,N,
coconut water thorne protein,b,82,N,
water thorne protein powder,b,82,N,
one cup black coffee,b,81,Y,
organic fruit spinach shake,b,61,Y,
black coffee tbsp brain,b,56,N,tbsp
coffee tbsp brain oct,b,56,N,tbsp
bullet prof decaf coffee,b,45,Y,
small almond milk cap,b,38,Y,small
white claw hard seltzer,b,37,Y,
protein powder scoop coconut,b,36,Y,
powder scoop coconut water,b,36,Y,
cup coffee alm milk,b,31,N,
coffee alm milk cream,b,31,Y,
almond milk protein smoothie,b,30,Y,
iced coffee maple syrup,b,28,Y,
coffee maple syrup cream,b,28,Y,
coffee half half sugar,b,25,Y,
cups coffee tps su,b,23,N,
monster energy absolute zero,b,22,Y,
coffee raw sugar half,b,22,N,
raw sugar half half,b,22,N,
coffee honey almond milk,b,21,Y,
small cup coffee almond,b,21,N,small cup
cup coffee almond crea,b,21,N,small cup
roast beef swiss sandwich,f,196,Y,
beef swiss sandwich chips,f,162,N,
peanut butter jelly sandwich,f,140,Y,
protein shake almond milk,f,75,Y,
fruit yogurt granola bowl,f,74,Y,
oatmeal coconut oil pb,f,68,N,
ground turkey rice veggies,f,59,N,
protein powder almond milk,f,52,Y,
gf organic granola fruit,f,50,N,
organic granola fruit chia,f,50,N,
sourdough toast ounce mocha,f,48,N,
salad olive oil vinegar,f,43,Y,
greek yogurt granola honey,f,42,N,
fried eggs sourdough toast,f,41,N,
greek yogurt protein bowl,f,41,N,
eggs bacon hash browns,f,40,N,
supplements protein shake banana,f,38,N,
tomato soup grilled cheese,f,36,N,
oatmeal raisin walnut almond,f,36,N,
oatmeal peanut butter banana,f,35,N,
peanut butter chia seeds,f,35,N,
raisin walnut almond p,f,35,N,
eggs sourdough toast ounce,f,34,N,
shake almond milk banana,f,33,N,
ginger cayenne spinach smoothie,f,33,Y,
oatmeal peanut butter chia,f,31,N,
dark chocolate pb bar,f,30,Y,
cayenne spinach smoothie strawberries,f,30,N,
grilled cheese tomato soup,f,29,N,
peanut butter jelly sandi,f,29,Y,
whole wheat english muffin,f,29,Y,
spinach smoothie strawberries banana,f,29,N,
oatmeal smoothie peanut butter,f,29,N,
chicken wrap greek salad,f,28,N,
almond butter breakfast biscuits,f,28,Y,
kale fruit protein smoothie,f,28,Y,
halo top ice cream,f,26,Y,
moose tracks ice cream,f,26,Y,
organic apple peanut butter,f,25,N,
submarine atc extra large,f,25,N,extra large
zero cal monster energy,f,25,Y,
cal monster energy drink,f,25,N,
peanut butter blue berries,f,25,N,
slice whole grain bread,f,24,Y,
almond milk protein powder,f,24,N,
oatmeal peanut butter blue,f,24,N,
oatmeal peanut butter honey,f,23,N,
mint moose tracks ice,f,23,N,
soft chewy granola bar,f,23,Y,
whole g oatmeal almonds,f,23,N,
g oatmeal almonds raisins,f,23,N,
fish tacos rice beans,f,22,N,
apple pie ice cream,f,21,N,
potato chips bitchin sauce,f,21,N,
macadamia nuts qtr cup,f,21,N,quarter cup
oatmeal apple spice cinnamon,f,21,Y,
eggs sliced sweet potatoe,f,21,N,
protein shake banana spinach,f,20,Y,
steel cut quinoa oatmeal,f,20,Y,
dried cranberries dried blueberries,f,20,N,
red rice yeast pills,m,114,Y,
lisinopril pepcid claritin flonase,m,74,N,
gnc multi vit sport,m,74,Y,
ginko biloba lisinopril pepcid,m,60,N,
biloba lisinopril pepcid claritin,m,60,N,
multi vit sport glucosamine,m,51,N,
rice yeast pills black,m,45,N,
yeast pills black seed,m,45,N,
pills black seed oil,m,45,N,
fish oil calcium magnesium,m,32,N,
pepcid lisinopril claritin flonase,m,28,N,
oil calcium magnesium multivitamin,m,28,N,
calcium glucosamine fish oil,m,27,N,
calcium magnesium multivitamin probiotic,m,27,N,
fish oil multivitamin probiotic,m,25,N,
coconut peanut butter bar,f,1,Y,
