key,food_type,value,relevant,measurement,note
salad,f,11400,Y,,
chicken,f,11009,Y,,
coffee,b,10125,Y,,
eggs,f,6297,Y,,
cheese,f,4964,Y,,
sandwich,f,4661,Y,,
rice,f,4556,Y,,
turkey,f,3587,Y,,
bar,f,3322,N,,
chips,f,3270,Y,,
avocado,f,3248,Y,,
banana,f,3205,Y,,
butter,f,2962,Y,,
burrito,f,2923,Y,,
egg,f,2706,Y,,
fruit,f,2682,Y,,
veggies,f,2565,Y,,
oatmeal,f,2362,Y,,
peanut,f,2333,Y,,
beans,f,2317,Y,,
beer,b,2285,Y,,
protein,f,2190,N,,
black,b,2182,N,,
toast,f,2090,Y,,
yogurt,f,2084,Y,,
bowl,f,2008,N,,
bacon,f,1983,Y,,
bread,f,1946,Y,,
apple,f,1867,Y,,
pizza,f,1818,Y,,
sausage,f,1759,Y,,
milk,b,1752,Y,,
breakfast,f,1744,N,,
potatoes,f,1738,Y,,
cream,f,1733,Y,,
tuna,f,1673,Y,,
smoothie,f,1650,Y,,
veggie,f,1636,Y,,
soup,f,1626,Y,,
beef,f,1577,Y,,
potato,f,1572,Y,,
tacos,f,1488,Y,,
coffee,f,1478,Y,,
broccoli,f,1421,Y,,
spinach,f,1404,Y,,
pork,f,1387,Y,,
pasta,f,1361,Y,,
steak,f,1360,Y,,
half,b,1346,N,,
salmon,f,1303,Y,,
taco,f,1267,Y,,
wine,b,1230,Y,,
half,f,1218,N,,
mixed,f,1202,N,,
fries,f,1202,Y,,
ice,f,1187,N,,
granola,f,1158,Y,,
tomato,f,1155,Y,,
almond,f,1147,Y,,
sweet,f,1140,N,,
fish,f,1104,Y,,
chocolate,f,1103,Y,,
almond,b,1095,Y,,
burger,f,1061,Y,,
tea,b,1057,Y,,
onion,f,1057,Y,,
protein,b,1027,Y,,
almonds,f,1020,Y,,
shrimp,f,1014,Y,,
greek,f,1003,N,,
shake,f,993,Y,,
corn,f,990,Y,,
sauce,f,977,N,,
milk,f,974,Y,,
grilled,f,972,N,,
tortilla,f,971,Y,,
hummus,f,956,Y,,
quinoa,f,944,Y,,
nuts,f,914,Y,,
salsa,f,903,Y,,
green,f,880,N,,
red,b,868,N,,
water,w,857,Y,,
black,f,847,N,,
cup,f,821,N,,
wrap,f,816,Y,,
carrots,f,809,Y,,
ham,f,804,Y,,
bagel,f,777,Y,,
scramble,f,771,N,,
roasted,f,759,N,,
honey,f,750,Y,,
bell,f,743,N,,
cereal,f,743,Y,,
pepper,f,712,Y,,
blueberries,f,708,Y,,
fried,f,691,N,,
red,f,675,N,,
bean,f,659,Y,,
squash,f,647,Y,,
shake,b,644,Y,,
sugar,b,637,Y,,
cauliflower,f,631,Y,,
cookie,f,619,Y,,
kombucha,b,618,Y,,
pepper,b,618,Y,,
cold,b,616,N,,
dr,b,616,N,,
kale,f,616,Y,,
brew,b,610,N,,
meat,f,610,Y,,
ground,f,591,N,,
avo,f,590,N,,
tots,f,583,Y,,
iced,b,581,N,,
creamer,b,581,Y,,
watermelon,f,573,Y,,
vegetables,f,571,Y,,
spaghetti,f,568,Y,,
crackers,f,561,Y,,
orange,f,560,Y,,
tomatoes,f,559,Y,,
brown,f,552,N,,
sushi,f,552,Y,,
muffin,f,549,Y,,
lettuce,f,543,Y,,
asparagus,f,540,Y,,
french,f,534,N,,
sprouts,f,532,Y,,
greens,f,531,Y,,
water,b,530,Y,,
organic,f,528,N,,
poke,f,527,Y,,
tip,f,521,N,,
asada,f,514,N,,
berries,f,511,Y,,
baked,f,510,N,,
boiled,f,510,N,,
wheat,f,502,Y,,
tri,f,501,N,,
carne,f,499,N,,
scrambled,f,497,N,,
whole,f,493,N,,
popcorn,f,486,Y,,
smoothie,b,484,Y,,
mix,f,484,N,,
pb,f,477,N,,
hard,f,476,N,,
cake,f,476,Y,,
dressing,f,476,Y,,
oil,f,476,Y,,
juice,b,468,Y,,
peppers,f,466,Y,,
white,f,465,N,,
strawberries,f,463,Y,,
feta,f,461,Y,,
roll,f,457,Y,,
chili,f,453,Y,,
cookies,f,450,Y,,
coconut,f,445,Y,,
ribs,f,435,Y,,
pancakes,f,434,Y,,
drink,b,431,N,,
beer,f,430,Y,,
roast,f,427,N,,
cucumber,f,424,Y,,
small,f,414,N,,
brussel,f,410,Y,,
coke,b,400,Y,,
kind,f,400,N,,
garlic,f,399,Y,,
snack,f,397,N,,
acai,f,396,Y,,
bbq,f,395,Y,,
grapes,f,393,Y,,
coconut,b,389,Y,,
cream,b,388,Y,,
pita,f,388,Y,,
hamburger,f,386,Y,,
chip,f,379,N,,
pesto,f,379,Y,,
slices,f,377,N,Y,
slice,f,376,N,Y,
ranch,f,373,Y,,
olive,f,368,Y,,
ipa,b,364,Y,,
pineapple,f,358,Y,,
jelly,f,356,Y,,
breast,f,350,N,,
carnitas,f,349,Y,,
mashed,f,348,N,,
dinner,f,345,N,,
gf,f,344,N,,
trail,f,343,N,,
clif,f,339,N,,
pie,f,337,Y,,
guacamole,f,333,Y,,
hash,f,331,N,,
cups,f,330,N,Y,
drink,f,324,N,,
sourdough,f,324,Y,,
donut,f,320,Y,,
latte,b,318,Y,,
hot,f,318,N,,
curry,f,318,Y,,
handful,f,315,N,,
dried,f,313,N,,
blueberry,f,308,Y,,
cheeseburger,f,307,Y,,
vegetable,f,304,N,,
olives,f,303,Y,,
vegan,f,302,N,,
pulled,f,301,N,,
energy,b,300,N,,
syrup,b,299,Y,,
oats,f,298,Y,,
zucchini,f,297,Y,,
tea,f,296,Y,,
organic,b,293,N,,
vodka,b,293,Y,,
bites,f,290,N,,
swiss,f,288,N,,
tater,f,284,N,,
creamer,f,281,Y,,
onions,f,281,Y,,
grain,f,278,N,,
vitamin,m,278,N,,
quesadilla,f,277,Y,,
honey,b,276,Y,,
cabbage,f,276,Y,,
green,b,275,N,,
mac,f,274,N,,
caesar,f,272,N,,
nut,f,271,N,,
hot,b,268,N,,
mocha,b,268,Y,,
cinnamon,f,267,Y,,
walnuts,f,267,Y,,
oil,m,267,Y,,
enchiladas,f,266,Y,,
wine,f,265,Y,,
salami,f,263,Y,,
cobb,f,262,N,,
lunch,f,261,N,,
italian,f,259,N,,
cashews,f,259,Y,,
mushrooms,f,259,Y,,
mango,f,257,Y,,
brussels,f,255,Y,,
veg,f,254,N,,
supplements,f,251,Y,,
pieces,f,248,N,Y,
sour,f,248,N,,
ahi,f,247,N,,
cup,b,246,N,Y,
vanilla,f,244,Y,,
balsamic,f,244,Y,,
mocha,f,244,Y,,
stir,f,242,N,,
piece,f,241,N,Y,
thai,f,241,N,,
vinegar,f,241,Y,,
rolls,f,240,Y,,
fry,f,239,N,,
carrot,f,239,Y,,
soda,b,238,Y,,
vitamins,m,238,Y,,
brownie,f,237,Y,,
maple,b,236,Y,,
bitchin,f,236,N,,
large,f,235,N,,
potatoe,f,234,Y,,
zero,b,233,N,,
seeds,f,233,Y,,
blue,f,227,N,,
smoked,f,227,N,,
wings,f,226,Y,,
ice,b,224,Y,,
blt,f,223,N,,
juice,f,221,Y,,
chia,b,220,Y,,
fruit,b,220,Y,,
cliff,f,220,N,,
cottage,f,218,N,,
scoop,b,217,N,Y,
chocolate,b,215,Y,,
noodles,f,215,Y,,
california,f,214,N,,
gluten,f,214,N,,
two,f,214,N,,
power,f,212,N,,
strawberry,f,210,Y,,
arugula,f,207,Y,,
lasagna,f,207,Y,,
chia,f,206,Y,,
croissant,f,206,Y,,
double,f,202,N,,
cranberries,f,202,Y,,
fish,m,201,Y,,
orange,b,200,Y,,
omelette,f,199,Y,,
coke,f,198,Y,,
mahi,f,198,Y,,
calorie,f,197,N,,
raw,f,197,N,,
browns,f,195,N,,
chipotle,f,194,N,,
small,b,192,N,,
rx,f,191,N,,
celery,f,189,Y,,
english,f,188,N,,
iu,m,188,N,,
ounce,f,186,N,Y,
patty,f,186,N,,
nachos,f,186,Y,,
rib,f,186,Y,,
raw,b,185,N,,
pretzels,f,185,Y,,
dip,f,184,N,,
slaw,f,183,N,,
powder,f,182,N,,
meatballs,f,180,Y,,
bison,f,179,Y,,
lemon,f,178,Y,,
pistachios,f,178,Y,,
shredded,f,177,N,,
stew,f,176,Y,,
