gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
vodka,,vodka,,b,1,alcohol,liquor,straight,fermented,,complete,,,,
monster,monster,energy drink,,b,1,energy drink,,,"caffeine, added sugar",,complete,,,,
coke,coke,soda,,b,1,soda,,,"caffeine, added sugar",,complete,,,,
mocha,,mocha,,b,1,"coffee, dairy",,,"caffeine, additive, added sugar",,complete,,,,
milk,,milk,,b,1,dairy,milk,,,,complete,,,,
tequila,,tequila,,b,1,alcohol,liquor,straight,fermented,,complete,,,,
bai,bai,sparkling water,,b,1,sparkling water,flavored carbonated water,,,,incomplete,,,,
shake,,shake,,b,1,,,,,,vague,,,,
salad,,salad,,f,1,vegetable,leafy,,,,incomplete,,,,
latte,,latte,,b,1,"coffee, dairy",milk,,caffeine,,complete,,,,
yogurt,,yogurt,,f,1,dairy,yogurt,,fermented,,complete,,,,
honey,,honey,,b,1,other,,,additive,,complete,,,,
syrup,,syrup,,b,1,other,,,"additive, added sugar",,incomplete,,,,
ipa,,ipa,,b,1,alcohol,beer,,fermented,,complete,,"ipa beer, beer ipa",,"duplicate, same as ipa beer, and beer ipa"
tonic,,tonic,,b,1,sparkling water,flavored carbonated water,,"added sugar, fermented",,complete,,,,
ale,,beer,,b,1,sparkling water,beer,,fermented,,complete,,,,
cappuccino,,cappuccino,,b,1,"coffee, dairy",milk,,caffeine,,complete,,,,
chai,,chai,,b,1,"tea, dairy",milk,,caffeine,,complete,,,,
seltzer,,sparkling water,,b,1,sparkling water,,,fermented,,complete,,,,
wine,,wine,,b,1,alcohol,wine,,fermented,,complete,,,,
lemonade,,lemonade,,b,1,juice/smoothie,fruit,,added sugar,,incomplete,,,,
coconut,,fruit,,f,1,fruit,,,,,vague,,,,coconut water? or just the coconut?
beer,,beer,,b,1,alcohol,beer,,fermented,,complete,,,,
collagen,,,,m,1,supplement,,,,,complete,,,,
soda,,soda,,b,1,soda,,,"caffeine, added sugar",,complete,,,,
creamer,,creamer,,b,1,dairy alternative,creamer,,"added sugar, additive, highly processed",,complete,,,,
coffee,,coffee,,b,1,coffee,,,caffeine,,complete,,,,
gatorade,gatorade,sports drink,,b,1,sports drink,,,added sugar,,complete,,,,
whiskey,,whiskey,,b,1,alcohol,liquor,straight,fermented,,complete,,,,
pepsi,pepsi,soda,,b,1,soda,,,"caffeine, added sugar",,complete,,,,
kombucha,,kombucha,,b,1,tea,kombucha,,"added sugar, fermented",,complete,,,,
tea,,tea,,b,1,tea,,,,,incomplete,,,,
bang,bang,energy drink,,b,1,energy drink,,,"caffeine, added sugar",,complete,,,,
coors,coors,beer,,b,1,alcohol,beer,,fermented,,complete,,,,
margarita,,,,b,1,alcohol,liquor,mixed,added sugar,,complete,,,,
smoothie,,,,b,1,juice/smoothie,,,,,vague,,,,
rum,,rum,,b,1,alcohol,liquor,straight,,,complete,,,,
gin,,gin,,b,1,alcohol,liquor,straight,,,complete,,,,
red wine,,red wine,,b,2,alcohol,wine,,fermented,,complete,3,,,
black tea,,black tea,,b,2,tea,black tea,,caffeine,,complete,1,,,
coffee sugar,,coffee with sugar,coffee with sugar,b,2,coffee,,,"caffeine, added sugar",,complete,3,,,
raw sugar,,,,b,2,other,,,additive,,complete,2,,,
coconut water,,,,b,2,juice/smoothie,fruit,,,,incomplete,1,,,
hard seltzer,,hard seltzer,,b,2,alcohol,hard seltzer,,fermented,,complete,4,,,
coffee creamer,,coffee with creamer,,b,2,"coffee, dairy alternative",creamer,,"additive, added sugar",,complete,4,,,duplicate
gin tonic,,gin and tonic,gin and tonic,b,2,"alcohol, sparkling water","liquor, flavored carbonated water",mixed,fermented,,complete,4,,,
half half,,half and half,half and half,b,2,dairy,half and half,,,,complete,4,,,
organic coffee,,organic coffee,,b,2,coffee,,,"caffeine, organic",,complete,1,,,duplicate
organic celery,,celery juice,organic celery juice,b,2,juice/smoothie,vegetable,,organic,,complete,1,,,duplicate - should be organic celery juice
sparkling water,,sparkling water,,b,2,sparkling water,plain mineral water,,,,complete,1,,,
cold brew,,cold brew coffee,,b,2,coffee,,,caffeine,,complete,1,,,
ice tea,,iced tea,iced tea,b,2,tea,black tea,,caffeine,,complete,1,,,
organic fruit,,organic fruit,,f,2,fruit,,,organic,,complete,1,,,duplicate - should this be organic fruit juice?
white wine,,white wine,,b,2,alcohol,wine,,fermented,,complete,3,,,
coke zero,coke,diet soda,,b,2,soda,diet soda,,"caffeine, artifical sweetener",,complete,4,,,
chia squeeze,"organic mamma chia, chia squeeze","chia seed, fruit, veggie liquid snack",,f,2,"seed, fruit, vegetable",chia seed,,,,complete,3,,https://www.mammachia.com/chia-squeeze/,
thorne protein,thorne,protein powder,,b,2,protein,protein powder,,,supplement,incomplete,4,,https://www.thorne.com/products?f%5b0%5d=health%20needs_protein%20powders&sortp=name.keyword&ascp=asc,
energy drink,,energy drink,,b,2,energy drink,,,"caffeine, added sugar",,complete,4,,,
coconut milk,,coconut milk,,b,2,"dairy alternative, juice/smoothie","coconut milk, fruit",,,,complete,4,,,
pre workout,,preworkout,preworkout,b,2,energy drink,preworkout,,"caffeine, vitamins, amino acids",supplement,incomplete,4,,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5579616/,
iced latte,,iced latte,,b,2,"coffee, dairy",milk,,caffeine,,complete,3,,,duplicate
dr pepper,dr. pepper,soda,dr. pepper,b,2,soda,,,"caffeine, added sugar",,complete,4,,,
celery juice,,vegetable juice,,b,2,juice/smoothie,vegetable,,,,complete,1,,,
green tea,,green tea,,b,2,tea,green tea,,caffeine,,complete,1,,,
orange juice,,fruit juice,,b,2,juice/smoothie,fruit,,,,complete,1,,,
protein smoothie,,protein smoothie,,b,2,protein,protein smoothie,,,supplement,incomplete,4,,,
black coffee,,coffee,,b,2,coffee,,,caffeine,,complete,1,coffee black,,"duplicate, same as coffee black"
irish tea,,type of tea (no additive),,b,2,tea,black tea,,caffeine,,complete,1,,https://en.wikipedia.org/wiki/irish_breakfast_tea,
